autor,nazev,rok,technika,rozmer,sirka,vyska,cena,dům,datum,kategorie
František Kupka,Tvar modré,1913,olej na plátně,73 x 60 cm,73,60,57422500,Adolf Loos Apartment and Gallery,18. 4. 2012,1
František Kupka,Zhroucení vertikál,1935,olej na plátně,71 × 70 cm ,71,70,25960000,1. Art Consulting,25. 3. 2009,1
František Kupka,Úsměv O,1933-51,olej na plátně,60 x 66 cm,60,66,23710000,1. Art Consulting,7. 6. 2012,1
Toyen,Spící,1937,olej na plátně,81 × 100 cm,81,100,23310000,Galerie Pictura,22. 3. 2009,1
František Kupka,Výšky IV.,1938,olej na plátně,60 x 66 cm,60,66,23205000,1. Art Consulting,7. 10. 2007,1
Oskar Kokoschka,London Chelsea Reach,1957,olej na plátně,75 x 100 cm,75,100,21450000,1. Art Consulting,3. 2. 2008,5
Emil Filla,Zátiší s lahví charry,1914,olej na plátně,"30,7 x 25,4 cm",30.7,25.4,19500000,Adolf Loos Apartment and Gallery,10. 11. 2010,1
anonym ,Oltářní socha bódhisattvy Kuan-jin ,"Čína, 1447","bronz, zlaceno v ohni","výška 35,5 cm, hmotnost 7,2 kg",33.5,10,19110000,Zezula,3. 11. 2012,5
Bohumil Kubišta,Zátiší,1909,olej na plátně,"66 x 82,5 cm",66,82.5,18490000,1. Art Consulting,12. 5. 2013,1
Emil Filla,Malíř,1920-21,olej na plátně,98 x 90 cm,98,90,18375000,Adolf Loos Apartment and Gallery,23. 1. 2013,1
Emil Filla,Hlava muže v cylindru,1914,olej na kartonu,68 x 42 cm,68,42,18240000,Dorotheum,26. 5. 2012,1
Emil Filla,Ležící žena,1932,olej na plátně,"98,5 x 139 cm",98.5,139,18240000,Galerie Kodl,6. 5. 2012,1
Emil Filla,Tři Grácie,1937,olej na plátně,140 x 114 cm,140,114,17520000,Galerie Kodl,2. 12. 2012,1
Josef Šíma,Léda s labutí,1938,olej na plátně,83 x 146 cm,83,146,17228000,Galerie Art Praha,21. 9. 2008,1
Toyen,Zbytek noci,1934,olej na plátně,91 x 72 cm,91,72,15840000,Galerie Kodl,25. 4. 2010,1
František Kupka,Abstraktní kompozice,1925-30,olej na plátně,55 x 46 cm,55,46,15800000,1. Art Consulting,20. 5. 2007,1
František Kupka,Apoteóza Heleny,1906,olej na plátně,"72,1 x 97 cm",72.1,97,15750000,1. Art Consulting,18. 3. 2012,1
Toyen,Smutný den,1942,olej na plátně,60 x 92 cm,60,92,14400000,Galerie Art Praha,22. 11. 2009,1
Emil Filla ,Zátiší s dýmkou,1934,olej na plátně,104 x 84 cm,104,84,14400000,Galerie Kodl,27. 11. 2011,1
Josef Čapek,Děvče v růžových šatech,1916,olej na plátně,70 x 52 cm,70,52,14160000,Galerie Art Praha,23. 9. 2007,1
Toyen,Potápěč,1926,olej na plátně,83 x 64 cm,83,64,13650000,1. Art Consulting,18. 3. 2012,1
Georges Braque,Zelené umyvadlo,1942,olej na plátně,65 × 81 cm,65,81,13570000,1. Art Consulting,18. 5. 2008,5
Emil Filla ,Sklenice a noviny,1914,olej na dřevě,"33 × 23,5 cm",33,23.5,13440000,Galerie Kodl,29. 11. 2009,1
Emil Filla ,Dívka s mandolínou,1929,olej na plátně,123 × 94 cm,123,94,12980000,1. Art Consulting,18. 5. 2008,1
Jindřich Štyrský ,Maldoror,1941,olej na plátně,40 × 50 cm,40,50,12980000,Adolf Loos Apartment and Gallery,25. 3. 2009,1
anonym ,Umučení světice,kol. 1390,tempera a zlato na dřevě,"36 × 26,3 cm",36,26.3,12915000,Adolf Loos Apartment and Gallery,25. 3. 2009,3
Jindřich Štyrský ,Černý pierot ,1923,olej a koláž na plátně,"59,5 x 39 cm",59.5,39,12480000,Galerie Kodl,27. 11. 2011,1
Jan Zrzavý,Hornatá krajina,1912,olej na plátně,"50,5 × 61 cm",50.5,61,12390000,1. Art Consulting,25. 11. 2009,1
Jindřich Štyrský ,Krajina v oblacích,1925,olej na plátně,"100,5 x 64,5 cm",100.5,64.5,12300000,Galerie Kodl,2. 12. 2007,1
Emil Filla ,Utěšitel,1911,olej na plátně,"103 x 63, 0 cm",103,63.0,12240000,Galerie Art Praha,20. 11. 2011,1
Toyen,Geometrická kompozice,1926,olej na plátně,100 x 65 cm,100,65,12075000,1. Art Consulting,23. 3. 2011,1
Antonín Procházka,Kopretiny,1922,"olej, písek na plátně","70 x 56,5 cm",70,56.5,11918000,Galerie Art Praha,21. 9. 2008,1
Konstantin Korovin,Letní den (Ochotino),1916,olej na plátně,87 x 133 cm,87,133,11640000,Dorotheum,26. 5. 2012,5
Georges Braque,"Ovoce, džbán a dýmka",1924,olej na dřevě,42 × 60 cm,42,60,11564000,1. Art Consulting,25. 1. 2009,5
Toyen,Cirque Conrado,1925,olej na plátně,"70 x 45,5 cm",70,45.5,11280000,Adolf Loos Apartment and Gallery,10. 11. 2010,1
Jindřich Štyrský ,"Hlava, která myslí ",1934,olej na plátně,"65 × 54,5 cm",65,54.5,11055000,Galerie Art Praha,22. 11. 2009,1
Josef Čapek,Koupel nohou,1921,olej na plátně,72 × 45 cm,72,45,10974000,Galerie Art Praha,30. 9. 2006,1
Emil Filla ,Zátiší s mandolínou a miskou ovoce,1933,olej na plátně,81 × 116 cm,81,116,10920000,Galerie Art Praha,20. 9. 2009,1
Jindřich Štyrský ,Kořeny,1934,olej na plátně,63 x 57 cm,63,57,10800000,Galerie Kodl,19. 5. 2013,1
František Kupka,Antropoides,1902,kvaš na lepence,"59,5 x 62 cm",59.5,62,10800000,European Arts Investments,29. 5. 2013,1
Čchi Paj-š',Vadnoucí lotosy a vážka,,tuš a barvy na papíře ,137 × 34 cm,137,34,10788000,Galerie Arcimboldo,21. 5. 2013,5
Antonín Procházka,Poprsí muže,1918,olej na plátně,69 x 49 cm,69,49,10620000,Galerie Art Praha,23. 9. 2007,1
Emil Filla ,Žena v křesle s knihou,1930,olej na plátně,100 x 76 cm,100,76,10502000,1. Art Consulting,5. 10. 2008,1
Konstantin Makovskij,Zrození Afrodity,,olej na plátně,112 x 50 cm,112,50,10200000,Dorotheum,9. 3. 2013,5
Jan Zrzavý,Benátky,1928,olej na plátně,"48,5 x 63,5 cm",48.5,63.5,10050000,1. Art Consulting,10. 2. 2013,1
Jindřich Štyrský ,Stan,1927,olej na plátně,65 x 54 cm,65,54,9794000,1. Art Consulting,3. 2. 2008,1
Jakub Schikaneder,Kontemplace,1893,olej na plátně,115 x 215 cm,115,215,9720000,Galerie Kodl,28. 11. 2010,2
František Kupka,Pískaři na Seině,1907,olej na plátně,70 x 70 cm,70,70,9676000,1. Art Consulting,18. 5. 2008,1
Jindřich Štyrský ,Kompozice,1925,olej na plátně,55 x 45 cm,55,45,9600000,Galerie Vltavín,28. 11. 2010,1
Jindřich Štyrský ,Cirkus Simonette,1923,olej na plátně ,"74,5 x 44 cm ",74.5,44,9460000,Galerie Art Praha,23. 4. 2006,1
Antonín Procházka,Mužská hlava,1916,olej na lepence,"38,8 x 32,3 cm",38.8,32.3,9460000,1. Art Consulting,10. 2. 2013,1
Josef Čapek,Koupel nohou,1921,olej na plátně ,72 x 45 cm,72,45,9322000,Galerie Art Praha,21. 9. 2008,1
Oskar Kokoschka,Akt dívky v krajině před Avignonem ,1925,olej na plátně ,38 x 45 cm,38,45,9072000,Adolf Loos Apartment and Gallery,24. 4. 2013,5
Ivana Ivanoviče Šiškina,Před zrcadlem ,1870,olej na plátně ,58 x 39 cm,58,39,8850000,Galerie Pictura,2. 4. 2006,5
Jakub Schikaneder,Na zámeckých schodech,,olej na plátně ,103 × 139 cm,103,139,8850000,1. Art Consulting,25. 11. 2009,2
Čchi Paj-š',Lotos,1950-60,tuš a barvy na papíře,66 x 34 cm,66,34,8804000,Galerie Arcimboldo,5. 12. 2012,5
Jan Zrzavý,Piazzetta,1929,olej a tempera na plátně,48 x 63 cm,48,63,8378000,Galerie Art Praha,20. 4. 2008,1
Antonín Procházka,Kopretiny,1922,"olej, písek na plátně","70 x 56,5 cm",70,56.5,8378000,Galerie Art Praha,2. 12. 2006,1
Jan Zrzavý,Portrét Adolfa Gärtnera,1913,olej na plátně ,44 x 35 cm,44,35,8280000,Dorotheum,20. 9. 2008,1
Emil Filla ,Modré zátiší,1926,olej na plátně ,81 x 100 cm,81,100,8340000,Galerie Kodl,2. 12. 2007,1
Jakub Schikaneder,Večer u mořského břehu,,olej na plátně ,97 x 147 cm,97,147,8184000,Adolf Loos Apartment and Gallery,18. 4. 2012,2
Čchi Paj-š',Kachny pod rákosem,kolem 1952,tuš na papíře,"135,5 x 34 cm",135.5,34,8060000,Arcimboldo,29. 5.  2011,5
Čchi Paj-š',Glycina a včelky,kolem 1950,tuš a barvy na papíře,107 x 33 cm,107,33,8060000,Galerie Arcimboldo,5. 12. 2012,5
Emil Filla,Zlaté rybičky u okna,1916,olej na plátně ,69 x 54 cm,69,54,8030000,Galerie Kodl,4. 6. 2000,1
Emil Filla,Zátiší na stole,1928,"olej, písek na plátně",114 x 146 cm,114,146,7906000,Galerie Art Praha,20. 4. 2008,1
Camille Corot ,Poblíž malé farmy,,olej na plátně,33 x 46 cm,33,46,7800000,Galerie Pictura,31. 5. 2012,5
Henri Eugene Augustin Le Sidaner ,Most v Clissonu za soumraku,1911,olej na plátně,"65,5 x 82 cm",65.5,82,7800000,Galerie Pictura,12. 12. 2012,5
Toyen,Vinobraní,1927,olej na plátně,48 x 59 cm,48,59,7800000,Prague Auctions,7. 11. 2010,1
Toyen,Brázda v zrcadle (Kielspur im Spiegel),1959,olej na plátně,130 x 81 cm,130,81,7670000,1. Art Consulting,23. 3.  2011,1
Toyen,Ile de Sein,1950,olej na plátně,32 × 120 cm ,32,120,7590000,Trans Ars,31. 5. 2009,1
Josef Čapek ,Král Lear,,olej na plátně,65 x 54 cm,65,54,7560000,Galerie Kodl,6. 5. 2012,1
Jindřich Štyrský ,Chrpy,1927,olej na plátně,46 × 61 cm,46,61,7200000,Galerie Kodl,30. 11. 2008,1
Jakub Schikaneder,Parník u mostu,,olej na plátně,"83,5 x 105,5 cm",83.5,105.5,7200000,Galerie Pictura,3. 10. 2012,2
Paolo Pagani,Milosrdný samaritán,,olej na plátně,160 x 197,160,197,7200000,1. Art Consulting,10. 11. 2010,3
Čchi Paj-š',Svlačce,,tuš a barvy na papíře,"60,5 × 39,5 cm ",60.5,39.5 ,7192000,Galerie Arcimboldo,21. 5. 2013,5
Sü Pej-chung,Běžící kůň,,tuš na papíře,"52 x 73,5 cm",52,73.5,7192000,Galerie Arcimboldo,21. 5. 2013,5
Josef Šíma,ML,1927,olej na plátně,140 x 70 cm,140,70,7035000,1. Art Consulting,1. 2. 2004,1
Josef Čapek,Prodavačka výšivek,1936,olej na plátně,"68 x 44, 0 cm",68,44.0,6960000,Galerie Kodl,27. 11. 2011,1
Jakub Schikaneder,Staropražské nokturno,,olej na plátně,"116,5 x 92 cm",116.5,92,6960000,Galerie Kodl,27. 11. 2011,2
Emil Filla,"Zátiší s pohárem, kartou a dýmkou",1914,olej na plátně,24 x 33 cm,24,33,6960000,Galerie Art Praha,25. 11. 2012,1
Josef Šíma,Portrét Zuzky Zgurišky ,1933,olej na plátně,81 x 56 cm,81,56,6824000,Galerie Pictura,6. 3. 2005,1
Jakub Schikaneder,Podvečer v zálivu,kolem 1920,olej na plátně,91 × 128 cm,91,128,6720000,Galerie Kodl,29. 11. 2009,2
Jindřich Štyrský ,Kominík a sněhulák,1925,olej na plátně,"70,5 x 50,5 cm",70.5,50.5,6720000,Dorotheum,17. 9. 2011,1
Emil Filla,Zátiší s artyčokem a mandolínou,1926,olej na plátně,73 x 92 cm,73,92,6608000,Galerie Art Praha,21. 9. 2008,1
Jan Zrzavý,Studně v Locronan III.,1937,olej na lepence,50 x 116 cm,50,116,6600000,Galerie Kodl,3. 12. 2006,1
Karel Škréta,Smrt Drahomíry,1641,olej na plátně,136 x 233 cm,136,233,6600000,1. Art Consulting,10. 11. 2010,3
Toyen,Buditelka něhy,1957,olej na plátně ,50 x 150 cm,50,150,6490000,1. Art Consulting,3. 2. 2008,1
Rudolf Kremlička,Tři ženy v lázni,1921,olej na plátně ,75 x 59 cm,75,59,6372000,Adolf Loos Apartment and Gallery,28. 4. 2010,1
Maurice de Vlaminck,Krajina,1914,olej na plátně ,"81 x 64,5 cm",81,64.5,6360000,Dorotheum,24. 11. 2007,5
Cchung Chu,Napájení koní,15. století,malba na hedvábí,"156,5 x 101,5 cm",156.5,101.5,6324000,Galerie Arcimboldo,5. 12. 2012,5
Sü Pej-chung,Stojící kůň,1949,tuš na papíře,90 x 46 cm,90,46,6324000,Galerie Arcimboldo,5. 12. 2012,5
Čchi Paj-š',Šest krevet,,tuš na papíře,104 × 34 cm ,104,34,6324000,Galerie Arcimboldo,21. 5. 2013,5
Emil Filla,Zátiší s artyčokem a mandolínou,1926,olej na plátně ,73 x 92 cm,73,92,6136000,Galerie Art Praha,14. 4. 2007,1
Josef Šíma,Akt v krajině,1932,olej na plátně ,84 x 64 cm,84,64,6313000,Galerie Art Praha,20. 4. 2008,1
František Muzika,Zátiší s hroznem,1927,olej na plátně ,79 x 88 cm,79,88,6120000,Galerie Art Praha,25. 9. 2010,1
Jakub Schikaneder,Šítkovské mlýny,1910,olej na plátně ,75 x 80 cm,75,80,6120000,Adolf Loos Apartment and Gallery,23. 1. 2013,2
Jakub Schikaneder,Podvečer,kolem 1910,olej na plátně ,"95,5 × 113 cm",95.5,113,6000000,Galerie Art Praha,20. 9. 2009,2
Emil Filla,Sedící žena,1934,olej na plátně,60 x 50 cm,60,50,6000000,Galerie Pictura,31. 5. 2012,1
Mikuláš Medek,Dívka se švihadlem,1950-60,olej na plátně,130 x 94 cm,130,94,6000000,Galerie Kodl,19. 5. 2013,4
Hans von Aachen,Diana při odpočinku,,olej na plátně,140 x 108 cm,140,108,5952000,Arthouse Hejtmánek,13. 6. 2013,3
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
